
Data_Dimensions,Query_Dimensions,alpha,R,KNN,L_sizelist,R_small,L_small,R_stitched,Filtered_recall,Stitched_recall,Execution_time,thread_num



20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964894, 0.945492, 125.759297, 1

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964496, 0.945311, 127.586351, 1

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964832, 0.945684, 112.167359, 2

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964791, 0.945158, 115.419966, 2

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964670, 0.944222, 112.808092, 4

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964660, 0.946302, 103.887099, 4

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964458, 0.945253, 113.270808, 8

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964450, 0.946822, 114.059548, 8

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964841, 0.945641, 111.707252, 16

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964728, 0.945360, 114.447059, 16

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964636, 0.945523, 115.256442, 32

20000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964485, 0.945858, 114.154607, 32

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963879, 0.929293, 205.372455, 1

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964337, 0.928185, 210.355496, 1

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963865, 0.928989, 175.184439, 2

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964187, 0.926932, 180.420657, 2

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964174, 0.928755, 170.421502, 4

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963754, 0.928294, 181.388277, 4

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964026, 0.928060, 162.597607, 8

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.964060, 0.928214, 163.902193, 8

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963936, 0.928080, 162.846355, 16

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963887, 0.926894, 163.605902, 16

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963757, 0.928102, 154.788772, 32

30000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963906, 0.926524, 156.813994, 32

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963444, 0.909618, 198.164196, 4

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.962954, 0.909861, 203.237056, 4

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963345, 0.911116, 272.945327, 8

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963559, 0.910027, 203.008860, 8

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963237, 0.910414, 212.318969, 16

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963463, 0.911102, 503.551674, 16

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963287, 0.909727, 214.628220, 32

40000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.963299, 0.909158, 215.311509, 32

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.923740, 0.920546, 109.444306, 1

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924075, 0.920778, 121.983272, 1

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924031, 0.920952, 79.170328, 1

10000, 5012, 2.000000, 25, 100, 120, 45, 160, 30, 0.924012, 0.920388, 71.113770, 1
